date, pm25, no2, so2, co
2019/9/21, 94, 100, 21, 47
2019/9/22, 96, 103, 27, 48
2019/9/23, 106, 89, 34, 41
2019/9/24, 143, 88, 33, 59
2019/9/25, 113, 84, 26, 42
2019/9/26, 94, 86, 18, 36
2019/9/27, 78, 90, 41, 65
2019/9/28, 107, 101, 22, 41
2019/9/29, 102, 97, 25, 35
2019/9/30, 99, 94, 32, 38
2019/10/1, 108, 86, 27, 36
2019/4/2, , , , 
2019/4/3, , , , 
2019/4/4, , , , 
2019/4/5, , , , 
2019/4/6, , , , 
2019/4/7, , , , 
2019/4/8, , , , 
2019/4/9, , , , 
2019/4/10, , , , 
2019/4/11, , , , 
2019/4/12, , , , 
2019/4/13, , , , 
2019/4/14, , , , 
2019/4/15, , , , 
2019/4/16, , , , 
2019/4/17, , , , 
2019/4/18, , , , 
2019/4/19, , , , 
2019/4/20, , , , 
2019/4/21, , , , 
2019/4/22, , , , 
2019/4/23, , , , 
2019/4/24, , , , 
2019/4/25, , , , 
2019/4/26, , , , 
2019/4/27, , , , 
2019/4/28, , , , 
2019/4/29, , , , 
2019/4/30, , , , 
2019/5/1, , , , 
2019/5/2, , , , 
2019/5/3, , , , 
2019/5/4, , , , 
2019/5/5, , , , 
2019/5/6, , , , 
2019/5/7, , , , 
2019/5/8, , , , 
2019/5/9, , , , 
2019/5/10, , , , 
2019/5/11, , , , 
2019/5/12, , , , 
2019/5/14, , , , 
2019/5/15, , , , 
2019/5/16, , , , 
2019/5/17, , , , 
2019/5/18, , , , 
2019/5/19, , , , 
2019/5/20, , , , 
2019/5/21, , , , 
2019/5/22, , , , 
2019/5/23, , , , 
2019/5/24, , , , 
